Force,Signal Name,Tag,Construct,Linguistic Surface,Boundary,Theoretical Anchor,Valence Applicability,Speaker State Applicability,Multi-Label Co-occurrence,Example 1,Example 2,Example 3
COMPETITIVE ENERGY FIELD,Brand Comparison,brand_comparison,"Direct, whole-brand head-to-head comparison between two or more named brands. The most general competitive signal — the consumer is treating brands as comparable units of evaluation.","Brand-A vs Brand-B framing: 'Brand X or Brand Y?', 'comparing Brand X and Brand Y', 'between Brand X and Brand Y', 'which is better — [Brand] or [Brand]?'.",Not Feature/Price/Performance/Ecosystem Comparison (which are sub-comparisons on specific dimensions). Brand Comparison is the *whole-brand* level. Note: a single utterance often co-fires Brand Comparison with one or more sub-comparison signals (multi-label).,Shocker et al. (1991) consideration set; Pechmann & Stewart (1990) comparative advertising,neutral,prospective,"Feature Comparison, Price Comparison, Shortlisting Signals",Should I get an Ola S1 or an Ather 450X?,Comparing Samsung and OnePlus for my next phone. Thoughts?,Between Brand A and Brand B — which is the better buy right now?
COMPETITIVE ENERGY FIELD,Feature Comparison,feature_comparison,"Spec-by-spec, attribute-level comparison between brands. Identifies the specific dimensions on which competitive evaluation is being conducted (Lehmann & Pan 1994 consideration-set drivers).","Feature-mapped comparison: 'Brand X has better [feature], Brand Y has better [other feature]', 'comparing the [features] across both'.",Not Brand Comparison (whole-brand). Feature Comparison is *attribute-level*. Note: co-fires frequently with Brand Comparison.,Lehmann & Pan (1994); Bettman et al. (1998) attribute-based comparison,neutral,prospective,"Brand Comparison, Performance Comparison, Pros vs Cons Evaluation","Brand A has a better screen, but Brand B has way better battery.","Camera-wise the rival wins, but everything else tilts to this brand.","Feature for feature, they're close — except the speakers, where this brand crushes."
COMPETITIVE ENERGY FIELD,Price Comparison,price_comparison,Comparison of prices across competing brands or products for an equivalent offering. Indicates active competitive shopping and price-anchored consideration.,"Cross-brand price language: 'Brand X is $50 cheaper than Brand Y', 'cheapest in the segment', 'most expensive among the lot', 'price-matched against [competitor]'.",Not Price Perception (Value Elasticity — single-brand internal feel). Price Comparison is explicitly cross-brand. Note: Price Comparison can also fire Competitor Value Criticism if framed negatively.,"Lichtenstein, Ridgway & Netemeyer (1993) price perception in comparison","positive, negative, neutral",prospective,"Brand Comparison, Competitor Value Criticism, Value for Money",This one is $50 cheaper than the equivalent from the competitor.,"Among the four I'm considering, this is by far the cheapest.",The rival is charging 30% more for basically the same thing.
COMPETITIVE ENERGY FIELD,Ecosystem Comparison,ecosystem_comparison,"Comparison of the integrated 'universes' of competing brands — the breadth and quality of related products, services, and integrations. Reflects ecosystem-as-decision-driver, increasingly common in tech and durables.","Universe-comparison language: 'the [Brand] ecosystem vs the [Brand] ecosystem', 'integration across [Brand] is better', 'switching ecosystems is a pain'.",Not Feature Comparison (single-product attributes). Not Ecosystem Advantage (which is one-sided superiority claim). Ecosystem Comparison is two-sided weighing of ecosystems.,Adner (2017) ecosystem competition; Iansiti & Levien (2004) keystone advantage,neutral,"prospective, active_user","Brand Comparison, Ecosystem Advantage, Ecosystem Lock-in","The Apple ecosystem is more polished, but Android gives you way more freedom.","Their ecosystem of accessories is unmatched, but you pay for it.","Comparing the two ecosystems — both have strengths, depends on what you already own."
COMPETITIVE ENERGY FIELD,Performance Comparison,performance_comparison,"Speed, durability, throughput, or other quantifiable performance metric comparisons between brands — often referring to benchmarks, tests, or measurable outcomes.","Benchmark-cited language: 'in benchmarks this brand beats', 'faster than the rival in tests', 'durability tests showed [Brand] is more reliable'.",Not Performance Superiority (which is one-sided assertion without benchmarking framework). Performance Comparison cites measurement or empirical contrast.,Pechmann & Stewart (1990) comparative claims; Lehmann & Pan (1994),neutral,"prospective, active_user","Feature Comparison, Performance Superiority, Research Behaviour","In every benchmark I've seen, this brand beats the rival by 15-20%.",Durability tests show Brand A holds up way longer than Brand B.,"Side by side, the rival's render times are 30% slower."
COMPETITIVE ENERGY FIELD,Market Leader Benchmarking,market_leader_benchmarking,Measuring the brand against a *named dominant competitor* — the current market leader serves as the reference standard. Indicates aspirational positioning by the brand or evaluative anchoring by the consumer (Tversky & Kahneman 1974 anchoring).,"Leader-as-yardstick language: 'the [Leader] of [category]', 'trying to be the next [Leader]', 'compared to [Leader] this is...'.","Not Category Standard References (which uses an *unnamed* category norm, not a named leader). Market Leader Benchmarking explicitly names the dominant player.",Tversky & Kahneman (1974) anchoring; Ries & Trout (1981) positioning,"positive, negative, neutral",any,"Category Standard References, Category Leadership Signals, Brand Comparison",It's trying to be the iPhone of the EV space.,They want to position themselves as the [Leader] killer.,"Compared to the market leader, this is 80% as good at 60% of the price."
COMPETITIVE ENERGY FIELD,Category Standard References,category_standard_references,Comparison of the brand against an *unnamed* but implicit category norm — what 'most brands in this segment' offer. Reveals the consumer's mental category prototype (Rosch 1978) and expectations of the segment.,"Category-norm references: 'most brands at this price', 'standard in this segment', 'everyone else offers [X], why doesn't this?', 'category-standard [feature]'.",Not Market Leader Benchmarking (named leader). Category Standard References operates on the *aggregate norm* of the category.,Rosch (1978) prototype theory; Sujan (1985) category-based affect transfer,"negative, neutral",prospective,"Market Leader Benchmarking, Feature Comparison, Competitive Weakness Signals",Most brands in this price range offer 4K — why doesn't this?,Category-standard at this segment includes wireless charging. They skipped it.,Everyone else in this tier has this feature. Strange omission.
COMPETITIVE ENERGY FIELD,Brand Switching Narratives,brand_switching_narratives,"Retrospective, story-form accounts of moving from one brand to another — typically including duration, reasons, and outcome. Rich diagnostic data on the drivers of churn and acquisition (Bansal & Taylor 2002 service switching).","Retrospective switching stories: 'after [time] of using [Brand A], I finally moved to [Brand B] because...', extended past-tense narration of the switch.",Not Switching Signals (which are present-tense intent or shorter declarations). Not Migration Signals (which use territorial/ecosystem-level metaphor). Switching Narratives are *retrospective*.,Bansal & Taylor (2002) service provider switching; Keaveney (1995) switching antecedents,"positive, negative","active_user, lapsed_user","Switching Signals, Migration Signals, Competitor Complaints","After ten years of using Brand A, I finally made the switch to Brand B last month — and here's why.",Was on the rival for five years. Switched in 2023 and never looked back.,"Long story of why I left Brand X — battery issues, terrible support, then they raised prices."
COMPETITIVE ENERGY FIELD,Switching Signals,switching_signals,"Present-tense or imminent declaration of intent to change brands. Distinguished from narratives by being short, action-focused, and forward-looking.","Intent or completed-action statements: 'switching to [Brand]', 'tired of [Brand A], moving to [Brand B]', 'made the switch', 'jumping ship'.","Not Brand Switching Narratives (retrospective, long-form). Not Migration Signals (territorial metaphor). Switching Signals are short and declarative.","Keaveney (1995) service switching; Burnham, Frels & Mahajan (2003) switching costs","positive, negative","active_user, lapsed_user","Brand Switching Narratives, Migration Signals, Replacement Intent",I'm tired of [Brand A] — switching to [Brand B] this month.,Just made the switch. Can already tell I'll never go back.,Jumping ship from [Brand A]. Done with them.
COMPETITIVE ENERGY FIELD,Migration Signals,migration_signals,"Brand-change language framed using *territorial, ecosystem, or movement metaphors* — implying the change is more structural than a simple swap. Often signals ecosystem-level migration with switching costs.","Territorial movement language: 'moving away from', 'leaving the ecosystem', 'migrating off', 'getting out of [Brand]'s walled garden'.",Not Switching Signals (which is product-level). Not Brand Switching Narratives (retrospective). Migration Signals carry ecosystem-level connotation.,"Burnham, Frels & Mahajan (2003) switching costs; Shapiro & Varian (1999) lock-in",neutral,"active_user, lapsed_user","Switching Signals, Ecosystem Lock-in, Brand Switching Narratives",Looking to migrate away from legacy software to something modern.,Slowly moving my entire workflow off [Brand] this year.,Time to leave the walled garden. Migrating to [open alternative].
COMPETITIVE ENERGY FIELD,Competitor Trial Signals,competitor_trial_signals,"Statements about trying a rival's product specifically for the purpose of comparison or evaluation, often while remaining on the current brand. Distinct from full switching — indicates exploration of alternatives without commitment.","Trial-of-rival language: 'tried the competitor', 'bought [Rival] just to see', 'testing both side by side', 'sample of [Rival] for comparison'.",Not Switching Signals (which is intent to leave). Not Trial Intent (Demand Gravity — for the *target* brand). Competitor Trial Signals are *exploration* of rivals.,Bawa & Shoemaker (1987) trial behaviour; Lehmann & Pan (1994) consideration,neutral,active_user,"Switching Signals, Brand Comparison, Feature Comparison",Bought the competitor's version just to see if it's actually better.,Testing both side by side for a month before deciding.,Picked up the rival as a backup just to compare.
COMPETITIVE ENERGY FIELD,Feature Superiority Claims,feature_superiority_claims,Assertions that the brand's specific feature is better than competitors' equivalent feature. One-sided claim of competitive advantage at the attribute level.,"Superiority assertion at feature level: '[feature] is miles ahead of everyone else', 'best [feature] in the category', 'nothing else comes close on [feature]'.","Not Feature Comparison (which is two-sided weighing). Not Performance Superiority (broader, overall-performance level). Feature Superiority Claims are *feature-specific one-sided assertion*.",Pechmann & Stewart (1990) comparative claims; Wilkie & Farris (1975) comparative advertising,positive,any,"Performance Superiority, Competitive Advantage Signals, Feature Comparison",Their noise cancellation is miles ahead of everyone else.,Best camera in this category — nothing else comes close.,The keyboard on this is just untouchable. Best in class.
COMPETITIVE ENERGY FIELD,Performance Superiority,performance_superiority,"One-sided assertion that the brand outperforms rivals on overall or core performance — speed, power, throughput, durability. Broader than feature-level superiority.","Overall-performance superiority: 'no contest — choose this brand', 'in raw power, nothing matches', 'fastest in the market'.",Not Feature Superiority Claims (feature-specific). Not Performance Comparison (which is two-sided benchmarking). Performance Superiority is one-sided whole-product.,Pechmann & Stewart (1990) comparative claims,positive,"active_user, prospective","Feature Superiority Claims, Performance Comparison, Brand Advocacy","If you want raw power, there's no contest — choose this brand.",Fastest in the market. Period.,Nothing else even comes close on overall performance.
COMPETITIVE ENERGY FIELD,Ecosystem Advantage,ecosystem_advantage,"Praise for the brand's integration with its broader ecosystem of products and services, framed as a competitive advantage over rivals. One-sided ecosystem claim.","Integration-advantage language: 'the way it talks to my other [Brand] devices', 'integration is unmatched', 'ecosystem is why I chose [Brand] over rivals'.","Not Ecosystem Comparison (two-sided). Not Ecosystem Lock-in (Reinforcement Stability — which is structural switching cost, not competitive praise). Ecosystem Advantage is positive comparative.",Adner (2017) ecosystem competition; Iansiti & Levien (2004),positive,active_user,"Ecosystem Comparison, Ecosystem Lock-in, Competitive Advantage Signals",The way it integrates with my other [Brand] devices is why I picked it over the rival.,"Ecosystem-wise, no one else even comes close to this brand.",The integration story is what wins this for me over the competition.
COMPETITIVE ENERGY FIELD,Competitive Advantage Signals,competitive_advantage_signals,"General one-sided claims that the brand is winning on a specific dimension — not necessarily feature, performance, or ecosystem, but any competitive differentiator (support, warranty, shipping, etc.).","Unique-advantage language: 'only brand that does [X]', 'no one else offers [Y]', 'their [Z] is unmatched'.",Not Feature/Performance/Ecosystem Superiority (which are dimension-specific). Competitive Advantage Signals is the catch-all for non-product-feature advantages.,Porter (1985) competitive advantage; Day & Wensley (1988),positive,any,"Feature Superiority Claims, Performance Superiority, Brand Justification",This is the only brand that offers 24/7 onsite support.,No one else gives you a 5-year warranty in this category.,Their return policy alone makes them a no-brainer over the rivals.
COMPETITIVE ENERGY FIELD,Competitor Complaints,competitor_complaints,Direct venting about negative experiences with a rival brand. Reveals competitor weakness from the consumer's perspective and indirectly strengthens the focal brand's position.,"Negative-experience venting about rival: 'support at [Rival] is terrible', '[Rival] has been awful', 'sick of [Rival]'s issues'.","Not Competitor Reliability Issues (which is specifically *doubt about long-term performance*). Competitor Complaints are broader venting, often about service, support, experience.",Keaveney (1995) switching antecedents; Singh (1988) consumer complaint behaviour,negative,"lapsed_user, prospective","Competitor Reliability Issues, Brand Switching Narratives, Switching Signals",The support at [Rival Brand] is absolutely terrible.,Their customer service made me want to throw my device out the window.,I'm done with [Rival]'s constant software bugs.
COMPETITIVE ENERGY FIELD,Competitor Reliability Issues,competitor_reliability_issues,"Doubt or evidence about the rival brand's long-term performance and durability. Often based on reports, reviews, or peer experience rather than personal.","Rival-reliability doubt: 'so many reports of [Rival]'s product failing', '[Rival] doesn't last', 'heard [Rival] units die after [time]'.",Not Competitor Complaints (broader venting). Not Reliability Concerns (Choice Architecture — about the focal brand). Competitor Reliability Issues are specifically rival-targeted durability doubt.,Mitchell (1999) perceived risk; Roselius (1971) risk reduction,negative,any,"Competitor Complaints, Reliability Concerns, Brand Switching Narratives",I've seen so many reports of the rival's product failing after a month.,Heard [Rival] units start dying within a year. Not taking that risk.,Three of my friends have had their [Rival] devices break. Pattern.
COMPETITIVE ENERGY FIELD,Competitor Value Criticism,competitor_value_criticism,Assertion that a rival brand is *overpriced* relative to what it delivers — explicit negative value-for-money judgment of the competitor.,"Rival-overpriced language: '[Rival] is charging double for the same thing', 'paying [Rival] tax', '[Rival]'s price is a joke', 'overpriced compared to [Focal]'.",Not Price Comparison (which is two-sided/neutral). Not Competitor Complaints (broader negative). Competitor Value Criticism is specifically the *value-for-money negative judgment of rival*.,Zeithaml (1988) perceived value; Thaler (1985) reference price,negative,any,"Price Comparison, Competitor Complaints, Value for Money",The competitor is charging double for basically the same features.,Paying the [Rival] tax just for the badge at this point.,[Rival] is wildly overpriced compared to what you get.
COMPETITIVE ENERGY FIELD,Category Leadership Signals,category_leadership_signals,Statements positioning the brand as defining or leading the category — others are imitators rather than peers. Reflects strong positioning and category-creator dynamics.,"Leadership/originality language: 'everyone else is copying [Brand]', '[Brand] defined this category', 'this is what others are trying to imitate'.",Not Market Leader Benchmarking (which uses another brand as the standard for *this* brand). Category Leadership Signals are about *this brand* being the standard.,Ries & Trout (1981) positioning; Carpenter & Nakamoto (1989) pioneer advantage,positive,any,"Market Position Signals, Market Leader Benchmarking, Brand Positioning Language",Everyone else is just trying to copy what this brand did first.,They defined the category. Everyone else is playing catch-up.,This is the original — the rest are clones.
COMPETITIVE ENERGY FIELD,Underdog Narratives,underdog_narratives,"Rallying language behind a smaller, challenger, or non-dominant brand against larger incumbents. Reflects David-vs-Goliath narrative framing and challenger-brand affinity.","Underdog-affection language: 'small startup taking on the giants', 'rooting for the underdog', 'love seeing them beat the big players'.",Not Category Leadership Signals (which positions the brand as dominant). Underdog Narratives are about *challenger affinity*.,Paharia et al. (2011) underdog brand biography; Holt (2004) cultural branding,positive,any,"Brand Positioning Language, Brand Advocacy, Market Position Signals",I love seeing this small startup take on the giants.,Rooting for them — David vs Goliath energy.,Honestly love that they're the underdog still punching above their weight.
COMPETITIVE ENERGY FIELD,Market Position Signals,market_position_signals,"Observations or assertions about where the brand currently sits in the market hierarchy — niche, mid-tier, premium, leader, declining. Captures positional dynamics.","Position-describing language: 'gone from niche to top', 'used to be mid-tier, now premium', 'falling from the top spot', 'climbing fast'.",Not Category Leadership Signals (which specifically asserts leadership). Market Position Signals describe *position movement or status* without necessarily claiming leadership.,Ries & Trout (1981) positioning; Day (1981) PLC and market position,"positive, negative, neutral",any,"Category Leadership Signals, Brand Positioning Language, Demand Momentum Signals",They've gone from a niche player to the top of the market in three years.,[Brand] is falling from its leadership spot — rivals are catching up fast.,"Used to be a budget option, now they're firmly mid-premium."
COMPETITIVE ENERGY FIELD,Brand Positioning Language,brand_positioning_language,"Consumer's articulation of where the brand 'feels' positioned relative to others — premium, budget, aspirational, accessible. Reveals perceived positioning, which may differ from intended positioning.","Position-feel descriptors: 'budget-friendly alternative', 'premium without trying too hard', 'the [adjective] option compared to'.",Not Market Position Signals (which describes objective market hierarchy). Brand Positioning Language is *subjective perceived positioning*.,Ries & Trout (1981) positioning; Keller (1993) brand image,"positive, negative, neutral",any,"Market Position Signals, Underdog Narratives, Identity Signals",This feels like the budget-friendly alternative to the premium brands.,[Brand] is the premium without trying too hard option.,They've got that aspirational-but-accessible vibe going.
MARKET TEMPO,Demand Momentum Signals,demand_momentum_signals,"Observer-reported descriptions of accelerating or decelerating collective interest in a brand or category. Captures the temporal derivative of attention — not the level, but the *change*. Anchored in diffusion theory (Rogers 1962) and informational cascade models (Bikhchandani et al. 1992).","Temporal-acceleration language: 'lately everyone is talking about', 'suddenly seeing this everywhere', 'used to be niche, now booming', 'losing momentum'.","Not Brand Mention Share (which is *snapshot* share, not change). Not Brand Salience (which is individual retrieval). Demand Momentum is observer-reported aggregate change.","Rogers (1962) Diffusion of Innovations; Bikhchandani, Hirshleifer & Welch (1992) cascades","positive, negative, neutral",any,"Topic Emergence, Feature Trend Signals, Product Launch Interest",Everyone seems to be talking about this brand lately.,Suddenly I'm seeing this product all over my feed — wasn't a thing a month ago.,"Used to be a niche brand, now they're absolutely booming."
MARKET TEMPO,Product Launch Interest,product_launch_interest,"Anticipation, speculation, or excitement around an upcoming product release. Indicates forward-looking demand pull at the market level, often correlated with category-creator and early-adopter dynamics.","Anticipation language: 'can't wait for the reveal', 'leaks suggest', 'launching next month', 'rumours about the new model'.",Not Product Lifecycle Signals (Demand Gravity — which is about *current* product's lifecycle position). Product Launch Interest is *forward-looking* toward upcoming launches.,Rogers (1962) innovators and early adopters; Holak & Lehmann (1990) innovation adoption,positive,any,"Demand Momentum Signals, Topic Emergence, Innovation Value",Can't wait for the reveal next Tuesday — fingers crossed for the rumoured features.,Leaks suggest the new model will have [feature]. Big if true.,Counting down to the launch. Already saved up for day-one purchase.
MARKET TEMPO,Topic Emergence,topic_emergence,"Sudden appearance of a new theme, concern, or discussion topic in category conversation. Indicates an emerging issue or opportunity — often the leading edge of a trend before it consolidates into mainstream conversation.","Emergence-marking language: 'suddenly everyone is asking about [topic]', 'new thing everyone's discussing', 'this came out of nowhere'.","Not Feature Trend Signals (which is specifically about *features*). Topic Emergence is broader — themes, concerns, debates.",Burt (2004) structural holes and idea emergence; Granovetter (1973) weak ties,neutral,any,"Demand Momentum Signals, Feature Trend Signals, Brand Mention Share",Suddenly everyone is asking about the battery safety of these models.,This sustainability angle just emerged in the last month — wasn't on anyone's radar before.,New topic everyone is discussing: the right-to-repair issue with these brands.
MARKET TEMPO,Feature Trend Signals,feature_trend_signals,Increasing volume of discussion about a specific product feature over time. Indicates rising expectations or demand for that feature in the category — leading indicator of feature-level category evolution.,"Feature-trend language: 'more and more people asking for [feature]', '[feature] is becoming a must-have', 'demand for [feature] is growing'.",Not Topic Emergence (broader). Not Feature Curiosity (Demand Gravity — individual-level interest). Feature Trend Signals are observer-reported aggregate feature interest growth.,Rogers (1962); Garcia & Calantone (2002) innovation typology,"positive, neutral",any,"Topic Emergence, Demand Momentum Signals, Category Standard References",More and more people are asking for a dark mode in the reviews.,[Feature] is becoming a must-have — every new launch has it now.,Demand for [feature] has exploded in the last six months across forums.
CULTURAL & CONTEXTUAL RESONANCE,Values Congruence,values_congruence,"Alignment between the brand's stated or perceived values (sustainability, ethics, inclusivity, craftsmanship) and the consumer's personal value system. Drives values-based brand affinity (Holt 2004 cultural branding; Belk 1988 extended self).","Values-alignment language: 'their values match mine', 'they stand for what I believe in', 'finally a brand that gets it', 'aligned with my principles'.",Not Identity Signals (Reinforcement Stability — which is individual self-categorisation). Values Congruence is specifically about *value-system alignment* between brand and consumer.,Holt (2004) cultural branding; Belk (1988); Sirgy (1982) self-congruity theory,"positive, negative",any,"Ethical & Sustainability Signals, Identity Signals, Brand Justification",Their values match mine — that's why I'll keep buying from them.,Finally a brand that stands for what I actually believe in.,Their principles are completely out of step with mine. Won't support them.
CULTURAL & CONTEXTUAL RESONANCE,Ethical & Sustainability Signals,ethical_sustainability_signals,"Consumer evaluation of the brand through an ethical, environmental, or sustainability lens — sourcing, labour practices, carbon footprint, packaging, animal welfare. Increasingly material to purchase decisions (Devinney, Auger & Eckhardt 2010 myth of the ethical consumer).","Sustainability/ethics language: 'eco-friendly', 'sustainable materials', 'ethical sourcing', 'carbon neutral', 'fair trade', 'cruelty-free', 'greenwashing'.",Not Values Congruence (broader value-system alignment). Ethical & Sustainability Signals are specifically about *ethics and environmental* dimensions.,Devinney et al. (2010); Carrigan & Attalla (2001) ethical consumer; Peattie (2010) green marketing,"positive, negative",any,"Values Congruence, Brand Justification, Brand Positioning Language",Love that they use sustainable materials and disclose their carbon footprint.,Their sourcing practices are a mess. Wouldn't buy from them.,Classic greenwashing — they put a leaf on the box and call it eco-friendly.
CULTURAL & CONTEXTUAL RESONANCE,Identity Politics Signals,identity_politics_signals,"Evaluation of the brand through the lens of inclusion, representation, social positions, or political associations. The brand is judged for its stances, partnerships, or perceived political alignment (Holt 2004; Banet-Weiser 2012 branded politics).","Identity-political language: 'inclusive', 'tone-deaf', 'on the right side of', 'cancelled', 'supporting [cause]', 'taking a stance'.",Not Values Congruence (broader values). Not Ethical & Sustainability Signals (which are specifically ethics/environment). Identity Politics Signals concern *social-political* dimensions.,Banet-Weiser (2012) authentic branding; Holt (2004) cultural branding,"positive, negative",any,"Values Congruence, Brand Defense, Brand Justification",Glad to see them taking a stance on this. Buying more from them.,Their latest campaign is honestly tone-deaf. Stepping away from this brand.,Finally a brand that represents people like me in their marketing.
CULTURAL & CONTEXTUAL RESONANCE,Regional & National Pride Signals,regional_national_pride_signals,"Evaluation of the brand through the lens of country of origin, regional identity, or local manufacturing — typically with affective pride or national-preference framing. Captures country-of-origin effects (Bilkey & Nes 1982; Verlegh & Steenkamp 1999).","Origin-pride language: 'made in India', 'supporting local', 'proud to back a [country] brand', 'homegrown', 'desi brand', 'finally something built here'.","Not Underdog Narratives (Competitive Energy — which is about challenger size, not origin). Regional & National Pride Signals are specifically *origin-based*.",Bilkey & Nes (1982) country of origin effects; Verlegh & Steenkamp (1999) COO meta-analysis,"positive, negative",any,"Brand Justification, Values Congruence, Underdog Narratives",Proud to support a homegrown Indian brand. Switching from the foreign one.,Finally a desi brand competing with the global players. Backing them.,Don't trust anything not made in [country]. Sticking with local.
CULTURAL & CONTEXTUAL RESONANCE,Cultural Moment Alignment,cultural_moment_alignment,"Resonance of the brand with a specific cultural moment, trend, or zeitgeist — festivals, viral moments, cultural shifts, generational identity markers. Indicates the brand has tapped into a temporal cultural current (Holt 2004 iconic brands).","Cultural-moment language: 'perfect for [festival/moment]', 'captures the [generation] vibe', 'on-trend for what's happening now', 'right brand for [cultural moment]'.",Not Brand Positioning Language (which is general position perception). Cultural Moment Alignment ties the brand to a *specific cultural moment or trend*.,Holt (2004) cultural branding and iconic brands; Arnould & Thompson (2005) CCT,"positive, neutral",any,"Brand Positioning Language, Demand Momentum Signals, Identity Signals",Honestly perfect for the post-pandemic work-from-home moment.,This brand just captures the Gen Z vibe in a way the others don't.,Right brand for the cost-of-living moment we're in.
CULTURAL & CONTEXTUAL RESONANCE,Heritage & Authenticity Signals,heritage_authenticity_signals,"Evaluation anchored in the brand's history, craft tradition, or perceived authenticity versus inauthentic alternatives. Reflects authenticity-as-cultural-capital (Beverland 2005 brand authenticity; Holt 2002 authentic branding).","Heritage/authenticity language: 'old-school quality', '[X] years of craft', 'the real deal', 'authentic', 'unlike the new copycats', 'they actually know what they're doing'.","Not Category Leadership Signals (which is competitive market position). Heritage & Authenticity Signals are about *history, craft, and authenticity*.",Beverland (2005) brand authenticity; Holt (2002) commercial mythmaking,"positive, negative",any,"Brand Justification, Values Congruence, Long-term Ownership Narratives",Old-school quality. They've been making these for 60 years and it shows.,Authentic craft brand — none of the mass-produced nonsense.,They've completely lost the heritage feel since the rebrand. Inauthentic now.
CULTURAL & CONTEXTUAL RESONANCE,Cultural Backlash Signals,cultural_backlash_signals,"Negative cultural response to brand actions perceived as misaligned with consumer values, cultural norms, or political moment. Captures cancel-culture dynamics and reputational shock events (Banet-Weiser 2018).","Backlash language: 'cancelling [Brand]', 'won't buy after [incident]', 'they crossed a line', 'boycotting', 'this is the last straw'.",Not Brand Defense (Reinforcement Stability — which protects the brand). Cultural Backlash Signals are *active rejection* of the brand for cultural/value reasons.,Banet-Weiser (2018) Empowered; Klein (1999) No Logo,negative,"active_user, lapsed_user, prospective","Switching Signals, Values Congruence, Identity Politics Signals",Cancelling this brand after their CEO's comments. Done.,Won't be buying from them after the way they handled that incident.,Last straw for me — boycotting them and so are most of my friends.
